Time,Used,Committed,Max
45438.741199,24400224,32894976,109576192
45438.741245,24223672,32894976,109576192
45438.741291,24266576,32894976,109576192
45438.741338,24441008,32894976,109576192
45438.741384,24490848,32894976,109576192
45438.741430,24310112,32894976,109576192
45438.741477,24513624,32894976,109576192
45438.741523,24726288,32894976,109576192
45438.741569,25142448,32894976,109576192
45438.741616,25166864,32894976,109576192
45438.741662,24656288,32894976,109576192
45438.741709,23326576,32894976,109576192
45438.741755,23768016,32894976,109576192
45438.741801,23226960,32894976,109576192
45438.741847,22855472,32894976,109576192
45438.741894,23082880,32894976,109576192
45438.741940,23303400,32894976,109576192
45438.741986,23322576,32894976,109576192
45438.742033,22763848,32894976,109576192
45438.742080,23751376,32894976,109576192
45438.742125,22467768,32894976,109576192
45438.742172,22448680,32894976,109576192
45438.742218,22510672,32894976,109576192
45438.742265,22324840,32894976,109576192
45438.742311,22004784,32894976,109576192
45438.742357,18819944,32894976,109576192
45438.742403,18312864,32894976,109576192
45438.742450,18125744,32894976,109576192
45438.742496,18169704,32894976,109576192
45438.742543,18173328,32894976,109576192
45438.742589,18595112,32894976,109576192
45438.742635,18596128,32894976,109576192
45438.742681,18464184,32894976,109576192
45438.742728,19230664,32894976,109576192
45438.742775,18879128,32894976,109576192
45438.742821,19277296,32894976,109576192
45438.742867,19465696,32894976,109576192
45438.742914,19331664,32894976,109576192
45438.742960,18612080,32894976,109576192
45438.743006,18444328,32894976,109576192
45438.743053,18479296,32894976,109576192
45438.743099,17717656,32894976,109576192
45438.743145,26901344,32894976,109576192
45438.743191,17953888,32894976,109576192
45438.743238,26608416,32894976,109576192
45438.743284,26633408,32894976,109576192
45438.743331,26839960,32894976,109576192
45438.743377,26667696,32894976,109576192
45438.743423,26877152,32894976,109576192
45438.743469,26909288,32894976,109576192
45438.743516,26550832,32894976,109576192
45438.743562,27144616,32894976,109576192
45438.743608,27153080,32894976,109576192
45438.743654,26801080,32894976,109576192
45438.743702,27192832,32894976,109576192
45438.743748,18055824,32894976,109576192
45438.743794,26307504,32894976,109576192
45438.743841,25229224,32894976,109576192
45438.743887,24341112,32894976,109576192
45438.743933,24551872,32894976,109576192
45438.743980,24177512,32894976,109576192
45438.744026,24552488,32894976,109576192
45438.744073,24614544,32894976,109576192
45438.744119,24610128,32894976,109576192
45438.744165,24301568,32894976,109576192
45438.744212,23007288,32894976,109576192
